Alloy Name,Yield Strength (MPa),Hardness HV (GPa)
Annealed Cu,80.71,0.54586
Cold rolled Cu,250.03,0.92581
Cu ECAP-1p,344.67,1.19418
Cu ECAP-2p,381.2,1.25334
Cu ECAP-3p,387.67,1.26319
Cu ECAP-4p,402.27,1.32986
Cu10%Zn ECAP-1p,375.87,1.42158
Cu10%Zn ECAP-2p,478,1.56572
Cu10%Zn ECAP-3p,531.7,1.64473
Cu10%Zn ECAP-4p,539.6,1.69132
Cu10%Zn HPT-1t,735.67,2.0468
Cu10%Zn HPT-5t,708.88,2.10572
Cu10%Zn HPT-10t,675.75,2.13074
Annealed Cu32%Zn,63.59,0.52273
Cold rolled Cu32%Zn,374.35,1.45844
Cu32%Zn ECAP-1p,517.8,1.84754
Cu32%Zn ECAP-2p,648.9,2.03863
Cu32%Zn ECAP-3p,703.03,2.03831
Cu32%Zn ECAP-4p,734.63,2.22411
Cu32%Zn HPT-1t,918.31,2.41599
Cu32%Zn HPT-5t,894.75,2.46913
Cu32%Zn HPT-10t,968.76,2.50069
PSZ,350,9.8
B4C,155,28.4
Si3N4,375,14.7
Al2O3,310,15.2
SiC,335,24.5
TiB2,275,26.5
MgO,97,7.7
Zr52.5Ni14.6Al10Cu17.9Ti5,1800,5.15
(Co0.942Fe0.058)69Nb3B22.4Si5.6,3320,9.82
Zr55Cu30Al10Ni5,1800,5
Pd40Ni40P20,1780,5.6
Fe41Co7Cr15Mo14C15B6Y2,3500,13.45
Fe74Ni9Cr4Si3B10,2930,9.16
Fe66Ni7Zr6Cr8Si3B10,2000,8.31
Fe63Ni7Zr6Cr8W3Si3B10,2730,9.1
Zr53Cu30Ni9Al8,2050,5.22
(Zr53Cu30Ni9Al8)99.75Si0.25,2050,5.54
(Zr53Cu30Ni9Al8)99.5Si0.5,1820,5.64
(Zr53Cu30Ni9Al8)99.25Si0.75,2100,5.67
(Zr53Cu30Ni9Al8)99Si,1750,5.82
Zr41.2Ti13.8Cu12.5Ni10Be22.5,1950,5.95
Zr-400°C×5min,1970,6.1
Zr-400°C×10min,1900,6.12
Zr-400°C×20min,1830,6.14
Zr-400°C×30min,1060,6.65
Zr41.2Ti13.8Cu12.5Ni10Be22.5,1900,5.34
Ti31.4Zr36.6Nb7Cu5.9Be19,1200,4.5
Ti43Zr25Nb7Cu6Be19,1160,4.2
Ti25Zr43Nb7Cu6Be19,1070,4.1
Zr41Ti14Cu12.5Be22.5Ni10,1840,5.88
Cu46Zr47Al7,1990,5.8
Cu46Zr47Al7+CuZr+Cu10Zr,1920,5.7
Cu46Zr47Al7+CuZr+Cu10Zr7,1070,5.4
CuZr+Zr2Cu,1030,3.9
[(Fe0.9Co0.1)0.75B0.2Si0.05]96Nb4,3900,11.5
[(Fe0.8Co0.2)0.75B0.2Si0.05]96Nb4,4170,12.25
[(Fe0.7Co0.3)0.75B0.2Si0.05]96Nb4,4200,12.45
[(Fe0.6Co0.4)0.75B0.2Si0.05]96Nb4,4250,12.5
[(Fe0.5Co0.5)0.75B0.2Si0.05]96Nb4,4210,12.2
[(Fe0.8Co0.1Ni0.1)0.75B0.2Si0.05]96Nb4,4230,12.3
[(Fe0.6Co0.1Ni0.3)0.75B0.2Si0.05]96Nb4,4070,11.7
[(Fe0.6Co0.2Ni0.2)0.75B0.2Si0.05]96Nb4,4160,12.1
[(Fe0.6Co0.3Ni0.1)0.75B0.2Si0.05]96Nb4,4200,12.4
Co43.5Fe20Ta5.5B31.5,5190,14.55
(Co0.535Fe0.1Ta0.055B0.31)98Mo2,5550,16.93
[(Co0.535Fe0.1Ta0.055B0.31)98Mo0.02]99Si,4920,14.5
[(Co0.535Fe0.1Ta0.055B0.31)98Mo0.02]98Si2,4450,13.14
(Fe0.75B0.2Si0.05)96Nb4,3400,10.7
[(Fe0.9Co0.1)0.75B0.2Si0.05]96Nb4,3900,11.5
[(Fe0.8Co0.2)0.75B0.2Si0.05]96Nb4,4170,12.25
[(Fe0.7Co0.3)0.75B0.2Si0.05]96Nb4,4200,12.45
[(Fe0.6Co0.4)0.75B0.2Si0.05]96Nb4,4250,12.5
[(Fe0.5Co0.5)0.75B0.2Si0.05]96Nb4,4210,12.5
Mg65Cu7.5Ni7.5Zn5Ag5Y10,850,2.35
Zr59Cu20Al10Ni8Ti3,1710,4.69
Cu60Zr30Ti10,2010,5.78
Fe65.5Cr4Mo4Ga4P12C5B5.5,2840,8.67
Al7075 alloy + 2%BA + 1%Gr,176.84,0.856
Al7075 alloy + 4%BA + 1%Gr,180.68,0.86
Al7075 alloy + 6%BA + 1%Gr,184.93,0.866
Al7075 alloy + 2%BA + 3%Gr,183.83,0.906
Al7075 alloy + 4%BA + 3%Gr,188.56,0.924
Al7075 alloy + 6%BA + 3%Gr,190.53,0.935
Al7075 alloy + 2%BA + 5%Gr,197.05,0.925
Al7075 alloy + 4%BA + 5%Gr,199.29,0.935
Al7075 alloy + 6%BA + 5%Gr,200.86,0.977